word,chinese_translation,stage_origin,frequency_21215,review_count_21215,example_context
pilot,飞行员,Stage 1 (500 Discovery),15976,13059,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
flight,飞行 / 航程,Stage 1 (500 Discovery),14667,8961,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
tour,游览 / 行程,Stage 1 (500 Discovery),12280,7367,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
experience,体验 / 经历,Stage 1 (500 Discovery),10242,7997,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
trip,旅程 / 出行,Stage 1 (500 Discovery),8276,5986,review_dfb2e16eb1e6fd1e7e9b818d :: Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT...
plane,视角小飞机,Stage 1 (500 Discovery),7362,5215,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
see,观看 / 远眺,Stage 1 (500 Discovery),7318,5688,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
would,想要 / 将会,Stage 1 (500 Discovery),6347,5134,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
recommend,推荐 / 建议,Stage 1 (500 Discovery),6064,5891,review_dfb2e16eb1e6fd1e7e9b818d :: Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT...
air,空中 / 气流,Stage 1 (500 Discovery),5913,4295,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
time,时间 / 次数,Stage 1 (500 Discovery),5905,4673,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
